seed,task,failure_family,split,episode,language_ambiguity,predicate_confidence,contact_force,support_relation,clearance,friction,deformation,temporal_order,tool_affordance,recovery_feasibility,violation_risk,damage_risk
0,tabletop_manipulation_with_support,erased_contact_force,nominal_abstraction,0,0.233557,0.645761,0.886417,0.360482,0.331411,0.476161,0.214821,0.140684,0.253911,0.209415,0.371841,0.276136
0,tabletop_manipulation_with_support,erased_contact_force,nominal_abstraction,1,0.399253,0.835143,0.999000,0.352285,0.269783,0.326368,0.284524,0.191575,0.172373,0.188578,0.354809,0.259671
0,tabletop_manipulation_with_support,erased_contact_force,nominal_abstraction,2,0.364520,0.776531,0.999000,0.436252,0.236027,0.521937,0.260777,0.300891,0.265591,0.396244,0.372920,0.291461
0,tabletop_manipulation_with_support,erased_contact_force,nominal_abstraction,3,0.379562,0.809864,0.846046,0.452412,0.550788,0.406136,0.226532,0.169758,0.317658,0.363561,0.354628,0.280800
0,tabletop_manipulation_with_support,erased_contact_force,nominal_abstraction,4,0.195172,0.783489,0.988407,0.313456,0.221185,0.353886,0.272939,0.299716,0.130236,0.411305,0.332395,0.298518
0,tabletop_manipulation_with_support,erased_contact_force,nominal_abstraction,5,0.312069,0.797038,0.940815,0.299260,0.447839,0.392946,0.330202,0.276505,0.152548,0.325770,0.379765,0.283832
0,tabletop_manipulation_with_support,erased_contact_force,language_ambiguity_shift,0,0.653738,0.904645,0.951666,0.502041,0.429438,0.535082,0.410067,0.569297,0.539894,0.265320,0.448662,0.303909
0,tabletop_manipulation_with_support,erased_contact_force,language_ambiguity_shift,1,0.760226,0.938299,0.965675,0.535335,0.507653,0.487662,0.343063,0.695279,0.555167,0.406023,0.394952,0.301340
0,tabletop_manipulation_with_support,erased_contact_force,language_ambiguity_shift,2,0.714642,0.970465,0.999000,0.570264,0.162514,0.463377,0.304342,0.607816,0.602529,0.546148,0.456551,0.315211
0,tabletop_manipulation_with_support,erased_contact_force,language_ambiguity_shift,3,0.511772,0.932319,0.999000,0.410301,0.393136,0.491507,0.439836,0.616390,0.742267,0.404573,0.473095,0.341554
0,tabletop_manipulation_with_support,erased_contact_force,language_ambiguity_shift,4,0.707897,0.999000,0.902260,0.530313,0.340852,0.507547,0.306568,0.501186,0.576256,0.496137,0.396489,0.319376
0,tabletop_manipulation_with_support,erased_contact_force,language_ambiguity_shift,5,0.636872,0.956261,0.919307,0.581801,0.314906,0.466014,0.260163,0.656674,0.564446,0.553347,0.403196,0.325954
0,tabletop_manipulation_with_support,erased_contact_force,predicate_noise_shift,0,0.538766,0.999000,0.999000,0.725239,0.538699,0.560161,0.411521,0.400383,0.523789,0.509101,0.446645,0.357975
0,tabletop_manipulation_with_support,erased_contact_force,predicate_noise_shift,1,0.532510,0.937596,0.889204,0.717647,0.390868,0.614561,0.347298,0.519227,0.251236,0.548615,0.407948,0.298379
0,tabletop_manipulation_with_support,erased_contact_force,predicate_noise_shift,2,0.499917,0.999000,0.958700,0.480099,0.505363,0.520771,0.353379,0.313470,0.327044,0.335868,0.450624,0.350530
0,tabletop_manipulation_with_support,erased_contact_force,predicate_noise_shift,3,0.304728,0.999000,0.999000,0.770400,0.232817,0.659175,0.294121,0.297283,0.403556,0.388452,0.438699,0.311004
0,tabletop_manipulation_with_support,erased_contact_force,predicate_noise_shift,4,0.538089,0.999000,0.999000,0.824217,0.465492,0.544626,0.439842,0.288068,0.323743,0.463365,0.483905,0.342674
0,tabletop_manipulation_with_support,erased_contact_force,predicate_noise_shift,5,0.497226,0.999000,0.969338,0.740454,0.439446,0.594106,0.296417,0.331033,0.420694,0.453681,0.363667,0.360994
0,tabletop_manipulation_with_support,erased_contact_force,geometry_tolerance_shift,0,0.339613,0.749510,0.988486,0.434738,0.623835,0.400934,0.458310,0.282319,0.153947,0.441494,0.435648,0.338105
0,tabletop_manipulation_with_support,erased_contact_force,geometry_tolerance_shift,1,0.432650,0.804805,0.806283,0.504356,0.737203,0.641773,0.298723,0.158965,0.276207,0.426034,0.457850,0.308945
0,tabletop_manipulation_with_support,erased_contact_force,geometry_tolerance_shift,2,0.418970,0.832778,0.993435,0.357425,0.693815,0.308619,0.266111,0.452762,0.278670,0.447446,0.400604,0.329323
0,tabletop_manipulation_with_support,erased_contact_force,geometry_tolerance_shift,3,0.424701,0.908250,0.974242,0.574640,0.655120,0.588003,0.368387,0.476085,0.359129,0.383338,0.461225,0.328598
0,tabletop_manipulation_with_support,erased_contact_force,geometry_tolerance_shift,4,0.212194,0.758293,0.999000,0.716657,0.684262,0.353310,0.399976,0.347106,0.290282,0.299041,0.487845,0.290386
0,tabletop_manipulation_with_support,erased_contact_force,geometry_tolerance_shift,5,0.407781,0.995931,0.955349,0.410537,0.637030,0.526765,0.187534,0.268848,0.189544,0.369532,0.490451,0.268913
0,tabletop_manipulation_with_support,erased_contact_force,mechanics_ood_shift,0,0.500419,0.999000,0.999000,0.524903,0.509693,0.801394,0.658046,0.358048,0.254654,0.365425,0.450403,0.414821
0,tabletop_manipulation_with_support,erased_contact_force,mechanics_ood_shift,1,0.216136,0.905175,0.999000,0.611251,0.327348,0.686112,0.654164,0.272003,0.403335,0.326123,0.479045,0.325990
0,tabletop_manipulation_with_support,erased_contact_force,mechanics_ood_shift,2,0.540449,0.999000,0.999000,0.379903,0.461953,0.793738,0.544459,0.373635,0.234914,0.485324,0.482898,0.363315
0,tabletop_manipulation_with_support,erased_contact_force,mechanics_ood_shift,3,0.219700,0.999000,0.999000,0.574607,0.457372,0.752519,0.641959,0.559332,0.292168,0.398993,0.457107,0.332147
0,tabletop_manipulation_with_support,erased_contact_force,mechanics_ood_shift,4,0.546975,0.999000,0.999000,0.602110,0.363568,0.650331,0.549262,0.640586,0.255407,0.501791,0.453237,0.335090
0,tabletop_manipulation_with_support,erased_contact_force,mechanics_ood_shift,5,0.368277,0.612518,0.999000,0.450433,0.426046,0.735730,0.578156,0.394176,0.238617,0.454996,0.409265,0.411206
0,tabletop_manipulation_with_support,erased_contact_force,object_affordance_transfer,0,0.672713,0.993018,0.930086,0.499817,0.505234,0.536089,0.459936,0.575238,0.441993,0.515381,0.456502,0.333960
0,tabletop_manipulation_with_support,erased_contact_force,object_affordance_transfer,1,0.533382,0.999000,0.999000,0.417866,0.583970,0.613406,0.418971,0.562529,0.529538,0.354290,0.448295,0.331189
0,tabletop_manipulation_with_support,erased_contact_force,object_affordance_transfer,2,0.426779,0.956170,0.999000,0.702406,0.576857,0.569274,0.676631,0.487393,0.545563,0.564946,0.392538,0.348689
0,tabletop_manipulation_with_support,erased_contact_force,object_affordance_transfer,3,0.413313,0.999000,0.999000,0.490807,0.589258,0.664547,0.573420,0.533596,0.485019,0.397496,0.516843,0.337181
0,tabletop_manipulation_with_support,erased_contact_force,object_affordance_transfer,4,0.617604,0.999000,0.999000,0.537635,0.645715,0.489798,0.493374,0.340451,0.319302,0.357853,0.446107,0.327617
