method,split,seed,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
active_relational_abstraction,combined_adversarial_abstraction,0,48,0.501058,0.011766,0.231924,0.012705,0.189461,0.009504,0.399306,0.046381,0.809028,0.097744,0.281250,0.058485,0.121528,0.092139,0.310552,0.008702,0.167067,0.023873,0.099698,0.021831,0.930556,0.044395,0.437500,0.080573
active_relational_abstraction,combined_adversarial_abstraction,1,48,0.506254,0.013259,0.230052,0.014628,0.189283,0.011209,0.364583,0.060473,0.795139,0.099779,0.416667,0.060741,0.125000,0.094551,0.313822,0.010340,0.162029,0.026582,0.104734,0.024786,0.920139,0.051457,0.493056,0.071446
active_relational_abstraction,combined_adversarial_abstraction,2,48,0.521448,0.011156,0.218949,0.011227,0.176337,0.009359,0.385417,0.047804,0.826389,0.096756,0.434028,0.058955,0.125000,0.094551,0.323257,0.009243,0.138434,0.021432,0.131727,0.019699,0.951389,0.037618,0.545139,0.079459
active_relational_abstraction,combined_adversarial_abstraction,3,48,0.507278,0.012043,0.228161,0.012531,0.186837,0.010299,0.361111,0.051772,0.809028,0.097744,0.350694,0.068251,0.125000,0.094551,0.314381,0.009472,0.159512,0.024550,0.108382,0.022038,0.934028,0.044295,0.517361,0.076114
active_relational_abstraction,combined_adversarial_abstraction,4,48,0.502499,0.013329,0.232862,0.014015,0.189445,0.011118,0.392361,0.058754,0.791667,0.097990,0.336806,0.051915,0.121528,0.092139,0.312674,0.009879,0.168410,0.026565,0.099716,0.024738,0.913194,0.048622,0.475694,0.070131
active_relational_abstraction,combined_adversarial_abstraction,5,48,0.511798,0.011685,0.226365,0.012137,0.183363,0.009687,0.375000,0.060350,0.812500,0.096102,0.454861,0.067903,0.125000,0.094551,0.316619,0.008240,0.153191,0.022580,0.115505,0.021402,0.937500,0.039658,0.468750,0.087351
active_relational_abstraction,combined_adversarial_abstraction,6,48,0.500383,0.013698,0.234265,0.014471,0.191592,0.011098,0.409722,0.064487,0.798611,0.100119,0.326389,0.049555,0.125000,0.094551,0.307626,0.009623,0.169783,0.027179,0.097360,0.025409,0.923611,0.051429,0.434028,0.079459
active_relational_abstraction,combined_adversarial_abstraction,7,48,0.508736,0.014658,0.229753,0.015517,0.186105,0.012239,0.388889,0.060220,0.798611,0.102915,0.354167,0.057233,0.125000,0.094551,0.314219,0.011022,0.158840,0.029770,0.109511,0.027258,0.923611,0.056679,0.482639,0.081516
active_relational_abstraction,combined_adversarial_abstraction,8,48,0.501896,0.011093,0.233405,0.011455,0.190237,0.009699,0.385417,0.058485,0.805556,0.096450,0.354167,0.052038,0.118056,0.089651,0.310388,0.008323,0.167062,0.022900,0.099187,0.020644,0.923611,0.042350,0.451389,0.079589
active_relational_abstraction,combined_adversarial_abstraction,9,48,0.500041,0.012999,0.235040,0.014141,0.191750,0.011205,0.395833,0.057233,0.791667,0.100375,0.350694,0.042663,0.118056,0.089651,0.311138,0.010440,0.171256,0.026930,0.094980,0.024326,0.909722,0.053236,0.479167,0.076353
active_relational_abstraction,geometry_tolerance_shift,0,48,0.543177,0.015159,0.207092,0.016923,0.167773,0.015359,0.416667,0.055021,0.770833,0.114930,0.142361,0.035055,0.125000,0.094551,0.288997,0.013530,0.159859,0.032191,0.180889,0.029440,0.895833,0.079984,0.815972,0.082668
active_relational_abstraction,geometry_tolerance_shift,1,48,0.540073,0.016043,0.208933,0.018575,0.169188,0.014997,0.465278,0.055838,0.763889,0.115835,0.125000,0.047150,0.125000,0.094551,0.286467,0.013744,0.165758,0.033550,0.176761,0.030894,0.888889,0.082148,0.829861,0.083946
active_relational_abstraction,geometry_tolerance_shift,2,48,0.544334,0.013472,0.202923,0.015926,0.164852,0.013370,0.413194,0.063026,0.781250,0.111813,0.111111,0.034158,0.125000,0.094551,0.290582,0.012671,0.157323,0.028981,0.185901,0.025945,0.906250,0.074014,0.836806,0.075019
active_relational_abstraction,geometry_tolerance_shift,3,48,0.542100,0.015996,0.205171,0.017757,0.166137,0.014181,0.430556,0.054877,0.781250,0.112656,0.086806,0.045610,0.125000,0.094551,0.289033,0.012671,0.160676,0.032115,0.182088,0.030050,0.906250,0.075281,0.815972,0.084926
active_relational_abstraction,geometry_tolerance_shift,4,48,0.541806,0.016363,0.208772,0.018671,0.168541,0.014353,0.437500,0.057233,0.770833,0.115750,0.145833,0.052038,0.125000,0.094551,0.288205,0.013712,0.161449,0.033554,0.178322,0.030854,0.895833,0.081158,0.802083,0.084600
active_relational_abstraction,geometry_tolerance_shift,5,48,0.540192,0.015346,0.207316,0.017689,0.166679,0.014397,0.416667,0.056714,0.774306,0.113215,0.072917,0.025561,0.125000,0.094551,0.287533,0.012955,0.163787,0.031767,0.179176,0.029545,0.899306,0.077041,0.822917,0.081031
active_relational_abstraction,geometry_tolerance_shift,6,48,0.550282,0.013670,0.202283,0.015839,0.165093,0.012987,0.440972,0.069112,0.784722,0.109160,0.211806,0.057327,0.125000,0.094551,0.292188,0.011674,0.150622,0.028244,0.191372,0.026275,0.909722,0.069432,0.833333,0.078416
active_relational_abstraction,geometry_tolerance_shift,7,48,0.538800,0.015884,0.209017,0.018013,0.169452,0.014889,0.447917,0.072887,0.767361,0.114565,0.100694,0.034716,0.125000,0.094551,0.286344,0.013414,0.166227,0.032929,0.175300,0.030298,0.892361,0.079904,0.784722,0.090177
active_relational_abstraction,geometry_tolerance_shift,8,48,0.540531,0.015089,0.207962,0.017257,0.167584,0.014691,0.447917,0.052519,0.774306,0.113632,0.118056,0.042350,0.125000,0.094551,0.287686,0.012932,0.162877,0.031714,0.178424,0.029305,0.899306,0.077652,0.809028,0.085343
active_relational_abstraction,geometry_tolerance_shift,9,48,0.535586,0.015797,0.212215,0.018543,0.170404,0.014380,0.465278,0.062247,0.763889,0.115015,0.065972,0.028754,0.125000,0.094551,0.285514,0.013544,0.169699,0.033027,0.169895,0.030036,0.888889,0.080988,0.777778,0.086084
active_relational_abstraction,language_ambiguity_shift,0,48,0.558132,0.012510,0.192021,0.015468,0.160719,0.014222,0.423611,0.055838,0.770833,0.112853,0.166667,0.043498,0.125000,0.094551,0.286571,0.012670,0.153034,0.027970,0.210682,0.025487,0.895833,0.076970,0.847222,0.077098
active_relational_abstraction,language_ambiguity_shift,1,48,0.558774,0.013740,0.191972,0.016939,0.159020,0.014444,0.434028,0.063587,0.767361,0.117419,0.149306,0.046888,0.125000,0.094551,0.286827,0.014163,0.152388,0.029865,0.212468,0.027065,0.892361,0.083946,0.843750,0.086672
active_relational_abstraction,language_ambiguity_shift,2,48,0.553555,0.013795,0.195248,0.017018,0.160917,0.014382,0.409722,0.059130,0.767361,0.116204,0.107639,0.035723,0.125000,0.094551,0.284583,0.013626,0.157731,0.029893,0.204927,0.027192,0.892361,0.082238,0.840278,0.083078
active_relational_abstraction,language_ambiguity_shift,3,48,0.562869,0.012749,0.187265,0.014944,0.156940,0.012335,0.461806,0.054363,0.788194,0.109498,0.163194,0.053706,0.125000,0.094551,0.291830,0.011789,0.144382,0.026221,0.218690,0.024293,0.913194,0.069453,0.854167,0.071225
active_relational_abstraction,language_ambiguity_shift,4,48,0.566316,0.011192,0.185278,0.013574,0.154902,0.011919,0.458333,0.061898,0.791667,0.108526,0.232639,0.060538,0.125000,0.094551,0.294235,0.011568,0.139291,0.024487,0.223746,0.021657,0.916667,0.067386,0.881944,0.071446
active_relational_abstraction,language_ambiguity_shift,5,48,0.550936,0.013394,0.195417,0.016761,0.160250,0.012896,0.423611,0.054985,0.774306,0.113215,0.072917,0.029027,0.125000,0.094551,0.284548,0.012757,0.159234,0.028364,0.202704,0.025982,0.899306,0.077041,0.833333,0.077811
